OBJECTID,LABELTXT,SQ_MILES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNYCODE,MUNICIPALITY,SHAPEarea,SHAPElen
28,99,0.00026321,{517F0158-210B-4442-8E91-1AB8DD27D77B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,7337.70945390765,1049.34927908543
29,79,0.16755216,{473B9B66-C719-4C70-927F-6BF236F6BC88},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,059,VELDA CITY,4675605.14605163,12562.2530061304
30,32,0.12259412,{50A83524-FB1A-47C0-943D-D2BC826D6F27},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,023,FLORDELL HILLS,3417714.52672203,7602.44773186648
31,99,0.15428515,{1736FC52-7803-4B5F-AE2E-72EB1C6DB8AA},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,4301205.96647048,12226.1890968759
32,99,0.9274297,{FD165EE9-A372-4C95-BF62-50C236CB0343},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,25855154.5105029,33604.688569258
33,65,0.614589,{19BC0B50-0888-4CB3-830F-6E4E3DA366BD},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,048,PINE LAWN,17133412.5099224,22713.2891006898
34,8,0.09532134,{3FFC440A-DB50-40A5-917B-C7672EE74992},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,008,BEVERLY HILLS,2657395.49761027,8228.83271533255
35,81,0.72404647,{A9D6354C-76B3-4EFA-8F71-28D757D0123B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,061,VINITA PARK,20185176.3606119,20018.2612649971
36,80,0.11961283,{7988BCDB-A7F1-4904-A2DF-41D8D6B091EC},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,060,VELDA VILLAGE HILLS,3334600.88687738,10001.7198750181
37,77,0.06855475,{9B398725-6A65-48ED-AB6D-141A25E00AC0},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,056,UPLANDS PARK,1911187.95588519,5571.3286994409
38,40,0.34878777,{BF6D5B50-3134-4C4B-9D23-663F21B1747F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,076,HANLEY HILLS,9723604.43571484,16302.3644098885
39,42,0.34367881,{0CC39B78-7C60-483A-92FB-177152940ABC},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,068,HILLSDALE,9576916.87198873,13606.7409626022
40,62,1.21159061,{124C67D1-0596-4EDF-B720-6806BEF9D97F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,085,PAGEDALE,33972918.0151813,32697.0663195446
41,85,0.92742713,{9A1E27BE-824C-4679-9581-793B3E43BA5E},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,078,WELLSTON,25938560.7308833,29256.9036563857
42,82,0.06364946,{56DA12A5-CF10-41C9-AB62-95394B7AA5E2},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,062,VINITA TERRACE,1769306.14873623,7593.28243969736
43,99,0.12030614,{317F7542-8810-4F1F-B627-A44A721EEDD9},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,3353929.2999813,8752.28821055541
44,59,2.77122775,{6F910393-7C49-4FC0-8CA1-C39870F12F35},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,042,OLIVETTE,77257085.7478346,36204.7885454618
45,86,0.62589883,{80330B28-A83F-4835-A813-F0CC9EB51AD8},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,097,WESTWOOD,17448987.996941,17416.1980616814
46,34,2.90266239,{FCDB23DB-CD79-4D19-871A-99DCD872EB36},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,025,FRONTENAC,80921251.1524716,48550.090508886
47,66,2.28854519,{80D2BDB6-A1C2-480B-A1C8-F43E996ECAF0},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,049,RICHMOND HEIGHTS,63800722.9312453,44855.8205431903
48,11,1.9466251,{D9AA8FB0-FA2D-4617-AF5C-6E7D6F4E453B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,009,BRENTWOOD,54268576.4531877,34670.5443399444
49,21,0.12232057,{2217BBCD-A7E0-4B66-89A8-2B4D1F3C3219},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,079,COUNTRY LIFE ACRES,3410102.13759724,7764.3443445289
50,43,0.98690032,{9793B7F2-8C6B-45C5-B66C-42BF9F37342E},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,030,HUNTLEIGH,27513089.7519666,24071.1215810455
51,24,0.09487193,{BCE9FB97-8D12-422E-9D99-2B827F050A62},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,016,CRYSTAL LAKE PARK,2644867.02155866,6635.94714696747
52,51,1.56402614,{C7673C45-32AA-4794-AC78-272142C49120},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,035,MAPLEWOOD,43602371.9958714,30743.44643464
53,99,0.00589622,{0AB08633-8267-45C2-8131-70CA93A78F02},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,164376.883915509,3435.32017711431
54,99,0.00578905,{A55304E6-1525-41AD-9C24-8F151176F1EC},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,161390.660355282,4429.82356565195
55,68,1.09568024,{141FA857-45B2-4C46-814C-B6FD4EC8CF7C},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,050,ROCK HILL,30545689.8583761,27411.8045246121
56,89,0.25038523,{3BDCE4CA-8E16-46EC-8938-32F073BCC0C1},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,066,WINCHESTER,6980311.61344712,12309.0803383409
57,49,0.02000011,{B3662D94-0FC0-44B4-83A9-3606C5FACDCD},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,034,MACKENZIE,557568.67126598,3524.27537807977
58,99,0.02690897,{B09D8DE4-D38B-45C3-8DD4-272583A935E9},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,750176.233102473,6140.82574084603
59,87,0.05927348,{F2D0BF2B-2CC3-4C94-828B-FF8AC79F67F1},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,065,WILBUR PARK,1652443.10149622,5654.10912930554
60,99,1.64609768,{0326F079-A43C-41C9-807F-8034D9B805A7},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,45890385.9859752,41177.236049092
61,26,4.33635907,{114FC0CC-DD29-4C66-8E44-BC442062D1DA},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,017,DES PERES,120890267.115377,70719.2849786026
62,39,0.18683104,{A3FB221F-9716-40AC-8A62-379F6A223967},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,086,GREENDALE,5210282.15045624,10099.5979205979
63,9,2.61431547,{616D7885-51B8-48DD-AB78-E6F0377D980E},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,103,BLACK JACK,72882640.9319425,40494.986354377
64,99,2.35408766,{FBB9324B-65CC-4402-9153-A730F355441B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,65627934.8879455,49264.0033854712
65,3,4.35441159,{FAC855CF-89DE-4454-939F-FF2573245DFF},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,088,BELLEFONTAINE NEIGHBORS,121393540.501872,64544.0080171809
66,13,0.41551487,{EE7D182D-9639-41A2-83D4-448F0A29F3A8},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,012,CALVERTON PARK,11583841.8829433,19522.9272954041
67,25,1.03867972,{B9D2D712-529A-4364-A710-861B849C88D8},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,095,DELLWOOD,28956616.9242929,36985.2665867778
68,99,0.00232265,{1744DB62-81F0-4B20-A84B-E5C7B654FAA4},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,64751.6154273331,1861.16345372005
69,67,0.8303368,{AF51F18B-0F70-4DBF-9969-28DA5CFEB154},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,089,RIVERVIEW,23148369.0044788,30299.4544580888
70,14,0.79849851,{47A291AE-3B93-4005-BF66-836676337CF2},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,102,CHAMP,22260771.658474,27257.2925053603
71,19,0.45755712,{D971D4C2-C8EA-415E-ACA2-C70C82D3399E},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,096,COOL VALLEY,12755908.5968977,17550.2145149873
72,20,0.1866263,{87AFB478-6ECD-4F2A-9A11-0AB7E421969E},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,015,COUNTRY CLUB HILLS,5202821.68007799,10573.9166376571
73,99,7.57627964,{11727969-98A4-4A72-AD7B-021E87781C7B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,211213712.49274,137573.9186557
74,61,0.60664742,{FA7AC7F6-2AF2-4C23-9720-53C6048D9691},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,044,PACIFIC,16912290.0437859,49608.0255042525
75,46,9.17943048,{2D818A27-348A-41AA-B392-98D0A7E1F77A},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,032,KIRKWOOD,255906816.839037,80052.378026111
76,90,0.77796253,{B9CEF22F-86F1-4BF7-8C77-948C4A445086},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,067,WOODSON TERRACE,21688263.7212499,22456.6192379518
77,31,6.15977656,{5AD85686-30B2-4FFC-A1A5-305104EB4EFA},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,022,FERGUSON,171724031.567926,95103.1441724433
78,47,8.545107,{F1DA94A8-51D6-4CE5-B818-6102E0627368},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,033,LADUE,238222962.009725,69855.2532303415
